C	f	theta	in	b	prior_mean	prior_sd	post_mean	post_sd
1	1	1	1	1	1	1.66666666666667	0.0811379940302094	0.0133959067681332
2	1	2	1	1	1	1.66666666666667	0.0849518007801701	0.0126840193443522
3	1	3	1	1	1	1.66666666666667	0.119073727172469	0.0391788205252482
4	1	4	1	1	1	1.66666666666667	0.0592331944647288	0.0120137006590673
5	1	5	1	1	1	1.66666666666667	0.0780214060374808	0.011839060028746
6	1	6	1	1	1	1.66666666666667	0.117682565824537	0.0218529712721634
7	1	7	1	1	1	1.66666666666667	0.11438790072124	0.0165576921982089
8	1	8	1	1	1	1.66666666666667	0.203895035775521	0.0516425463843965
9	1	9	1	1	1	1.66666666666667	0.0884949348996706	0.0167587070238124
10	1	10	1	1	1	1.66666666666667	0.385526729572988	0.0535135562603073
11	1	11	1	1	1	1.66666666666667	1.32958438097787	0.108046574812708
12	1	12	1	1	1	1.66666666666667	0.156479183393761	0.0287720426829204
13	1	13	1	1	1	1.66666666666667	0.141917935598918	0.0292629933694609
14	1	14	1	1	1	1.66666666666667	0.144516884030655	0.0193121749679394
15	1	15	1	1	1	1.66666666666667	0.0558413632373974	0.00876687062430366
16	1	16	1	1	1	1.66666666666667	0.20125151394958	0.018541613229406
17	1	17	1	1	1	1.66666666666667	0.0762716962947901	0.0146373302035307
18	1	18	1	1	1	1.66666666666667	0.0372820727889396	0.00739023466283835
19	1	19	1	1	1	1.66666666666667	0.0529693955961952	0.00978531321968553
20	1	20	1	1	1	1.66666666666667	0.0672738254679554	0.0145351276198971
21	1	21	1	1	1	1.66666666666667	0.0959049068888882	0.0338106072452668
22	1	22	1	1	1	1.66666666666667	0.0940838872525716	0.0195967791678332
23	1	23	1	1	1	1.66666666666667	0.0820389130926106	0.0168756170827977
24	1	24	1	1	1	1.66666666666667	0.377289840982771	0.0664058079428591
25	1	25	1	1	1	1.66666666666667	0.0426163284571424	0.00762954273049878
26	1	26	1	1	1	1.66666666666667	0.486893694158686	0.063921874752534
27	1	27	1	1	1	1.66666666666667	0.0791845334693966	0.0153165071644472
28	1	28	1	1	1	1.66666666666667	0.0570014435985931	0.00979122540182557
29	1	29	1	1	1	1.66666666666667	0.0835571505902994	0.0159888105540666
30	1	30	1	1	1	1.66666666666667	0.0487357361736372	0.00994842427391194
31	1	31	1	1	1	1.66666666666667	0.153279940945287	0.0165110726706741
32	1	32	1	1	1	1.66666666666667	0.487006883289165	0.0391545385735072
