placestate	year	anchorcat
Alexandria, VA	1987	1
Alexandria, VA	1988	1
Alexandria, VA	1989	1
Alexandria, VA	1990	1
Alexandria, VA	1991	1
Alexandria, VA	1992	1
Alexandria, VA	1993	1
Alexandria, VA	1994	1
Alexandria, VA	1995	1
Alexandria, VA	1996	1
Alexandria, VA	1997	1
Alexandria, VA	1998	1
Alexandria, VA	1999	1
Alexandria, VA	2000	1
Alexandria, VA	2001	1
Alexandria, VA	2002	1
Alexandria, VA	2003	1
Alexandria, VA	2004	1
Alexandria, VA	2005	1
Alexandria, VA	2006	1
Alexandria, VA	2007	1
Alexandria, VA	2008	1
Alexandria, VA	2009	1
Alexandria, VA	2010	1
Alexandria, VA	2011	1
Alexandria, VA	2012	1
Alexandria, VA	2013	1
Alexandria, VA	2014	1
Alexandria, VA	2015	1
Alexandria, VA	2016	1
Alexandria, VA	2017	1
Alexandria, VA	2018	1
Alexandria, VA	2019	1
Alexandria, VA	2020	1
Ann Arbor, MI	1988	1
Ann Arbor, MI	1989	1
Ann Arbor, MI	1990	1
Ann Arbor, MI	1991	1
Ann Arbor, MI	1992	1
Ann Arbor, MI	1993	1
Ann Arbor, MI	1994	1
Ann Arbor, MI	1995	1
Ann Arbor, MI	1996	1
Ann Arbor, MI	1997	1
Ann Arbor, MI	1998	1
Ann Arbor, MI	1999	1
Ann Arbor, MI	2000	2
Ann Arbor, MI	2001	2
Ann Arbor, MI	2002	2
Ann Arbor, MI	2003	4
Ann Arbor, MI	2004	4
Ann Arbor, MI	2005	4
Ann Arbor, MI	2006	4
Ann Arbor, MI	2007	4
Ann Arbor, MI	2008	4
Ann Arbor, MI	2009	4
Ann Arbor, MI	2010	4
Ann Arbor, MI	2011	4
Ann Arbor, MI	2012	4
Ann Arbor, MI	2013	4
Ann Arbor, MI	2014	3
Ann Arbor, MI	2015	3
Ann Arbor, MI	2016	3
Ann Arbor, MI	2017	3
Ann Arbor, MI	2018	3
Ann Arbor, MI	2019	3
Ann Arbor, MI	2020	2
Arlington, VA	1997	1
Arlington, VA	1998	1
Arlington, VA	1999	1
Arlington, VA	2000	1
Arlington, VA	2001	2
Arlington, VA	2002	2
Arlington, VA	2003	2
Arlington, VA	2004	2
Arlington, VA	2005	2
Arlington, VA	2006	2
Arlington, VA	2007	1
Arlington, VA	2008	1
Arlington, VA	2009	1
Arlington, VA	2010	1
Arlington, VA	2011	1
Arlington, VA	2012	1
Arlington, VA	2013	1
Arlington, VA	2014	1
Arlington, VA	2015	1
Arlington, VA	2016	1
Arlington, VA	2017	1
Arlington, VA	2018	1
Arlington, VA	2019	1
Arlington, VA	2020	1
Atlanta, GA	1983	1
Atlanta, GA	1984	1
Atlanta, GA	1985	1
Atlanta, GA	1986	1
Atlanta, GA	1987	1
Atlanta, GA	1988	1
Atlanta, GA	1989	1
Atlanta, GA	1990	1
Atlanta, GA	1991	1
Atlanta, GA	1992	1
Atlanta, GA	1993	1
Atlanta, GA	1994	1
Atlanta, GA	1995	1
Atlanta, GA	1996	1
Atlanta, GA	1997	1
Atlanta, GA	1998	1
Atlanta, GA	1999	1
Atlanta, GA	2000	1
Atlanta, GA	2001	1
Atlanta, GA	2002	1
Atlanta, GA	2003	1
Atlanta, GA	2004	1
Atlanta, GA	2005	1
Atlanta, GA	2006	1
Atlanta, GA	2007	1
Atlanta, GA	2008	2
Atlanta, GA	2009	2
Atlanta, GA	2010	2
Atlanta, GA	2011	2
Atlanta, GA	2012	2
Atlanta, GA	2013	2
Atlanta, GA	2014	2
Atlanta, GA	2015	2
Atlanta, GA	2016	2
Atlanta, GA	2017	2
Atlanta, GA	2018	2
Atlanta, GA	2019	2
Atlanta, GA	2020	1
Austin, TX	2008	1
Austin, TX	2009	1
Austin, TX	2010	1
Austin, TX	2011	1
Austin, TX	2012	2
Austin, TX	2013	2
Austin, TX	2014	2
Austin, TX	2015	2
Austin, TX	2016	2
Austin, TX	2017	2
Austin, TX	2018	2
Austin, TX	2019	2
Austin, TX	2020	2
Baltimore, MD	1998	1
Baltimore, MD	1999	1
Baltimore, MD	2000	1
Baltimore, MD	2001	1
Baltimore, MD	2002	1
Baltimore, MD	2003	1
Baltimore, MD	2004	1
Baltimore, MD	2005	1
Baltimore, MD	2006	1
Baltimore, MD	2007	1
Baltimore, MD	2008	1
Baltimore, MD	2009	1
Baltimore, MD	2010	1
Baltimore, MD	2011	1
Baltimore, MD	2012	1
Baltimore, MD	2013	1
Baltimore, MD	2014	2
Baltimore, MD	2015	2
Baltimore, MD	2016	2
Baltimore, MD	2017	2
Baltimore, MD	2018	2
Baltimore, MD	2019	2
Baltimore, MD	2020	2
Bellevue, WA	1996	1
Bellevue, WA	1997	1
Bellevue, WA	1998	1
Bellevue, WA	1999	1
Bellevue, WA	2000	1
Bellevue, WA	2001	1
Bellevue, WA	2002	1
Bellevue, WA	2003	1
Bellevue, WA	2004	1
Bellevue, WA	2005	2
Bellevue, WA	2006	2
Bellevue, WA	2007	2
Bellevue, WA	2008	2
Bellevue, WA	2009	2
Bellevue, WA	2010	2
Bellevue, WA	2011	2
Bellevue, WA	2012	2
Bellevue, WA	2013	2
Bellevue, WA	2014	2
Bellevue, WA	2015	2
Bellevue, WA	2016	2
Bellevue, WA	2017	2
Bellevue, WA	2018	1
Bellevue, WA	2019	1
Bellevue, WA	2020	1
Bethesda, MD	1995	1
Bethesda, MD	1996	1
Bethesda, MD	1997	1
Bethesda, MD	1998	1
Bethesda, MD	1999	1
Bethesda, MD	2000	2
Bethesda, MD	2001	2
Bethesda, MD	2002	2
