placestate	industry	year	growthdeals
Wellesley, MA	Medical/Health/Life Science	1984	1
Santa Monica, CA	Information Technology	2004	2
Broomfield, CO	Non-High Technology	1991	1
Omaha, NE	Information Technology	2019	9
Irving, TX	Information Technology	2016	3
Santa Ana, CA	Information Technology	1997	1
Emeryville, CA	Non-High Technology	1989	1
Dallas, TX	Information Technology	2018	5
Minnetonka, MN	Information Technology	1982	2
Alameda, CA	Information Technology	2003	2
Atlanta, GA	Non-High Technology	1995	1
Santa Clara, CA	Non-High Technology	2011	1
Palo Alto, CA	Information Technology	1985	1
Fremont, CA	Medical/Health/Life Science	2007	2
Madison, WI	Non-High Technology	1988	1
Chicago, IL	Medical/Health/Life Science	1990	1
Centennial, CO	Medical/Health/Life Science	1989	1
Oakland, CA	Medical/Health/Life Science	1985	1
Johns Creek, GA	Medical/Health/Life Science	2008	1
New Haven, CT	Information Technology	2013	1
Fort Lauderdale, FL	Information Technology	1996	1
Wellesley, MA	Medical/Health/Life Science	1987	1
San Jose, CA	Information Technology	1986	10
Philadelphia, PA	Medical/Health/Life Science	1988	2
Arlington, VA	Information Technology	2008	2
New Haven, CT	Medical/Health/Life Science	2001	1
Santa Monica, CA	Non-High Technology	2012	1
St. Louis, MO	Medical/Health/Life Science	2002	3
Pinehurst, MA	Information Technology	1987	1
Evanston, IL	Information Technology	1999	1
New York, NY	Non-High Technology	2005	7
San Mateo, CA	Information Technology	2020	10
Cambridge, MA	Non-High Technology	1983	1
The Woodlands, TX	Information Technology	2019	1
Houston, TX	Information Technology	2018	9
Burlington, MA	Non-High Technology	1998	1
Baltimore, MD	Non-High Technology	1991	1
San Carlos, CA	Information Technology	2015	3
Farmers Branch, TX	Non-High Technology	1987	1
Redwood City, CA	Information Technology	2017	11
The Woodlands, TX	Information Technology	1984	1
Boca Raton, FL	Non-High Technology	1989	1
Raleigh, NC	Medical/Health/Life Science	1996	3
Oakland, CA	Information Technology	1993	1
Boston, MA	Information Technology	2011	23
Campbell, CA	Information Technology	1984	1
Fremont, CA	Medical/Health/Life Science	1997	3
Denver, CO	Information Technology	2002	3
Rochester, NY	Non-High Technology	2007	2
Richardson, TX	Information Technology	1999	7
Mountain View, CA	Non-High Technology	2009	1
Kirkland, WA	Medical/Health/Life Science	2015	1
Mountain View, CA	Non-High Technology	2000	2
Foster City, CA	Medical/Health/Life Science	2009	1
Los Angeles, CA	Information Technology	1989	1
Nashville-Davidson, TN	Medical/Health/Life Science	2020	2
Belmont, CA	Medical/Health/Life Science	1993	1
Portland, OR	Information Technology	2020	6
Sandy Springs, GA	Information Technology	2011	1
San Jose, CA	Non-High Technology	2012	1
Los Altos, CA	Information Technology	2000	2
New Haven, CT	Information Technology	2018	1
Cambridge, MA	Information Technology	1998	9
Omaha, NE	Medical/Health/Life Science	1998	1
Los Angeles, CA	Non-High Technology	2006	5
Santa Clara, CA	Information Technology	1994	3
Beaverton, OR	Information Technology	1999	3
Sandy Springs, GA	Medical/Health/Life Science	2004	2
Waltham, MA	Medical/Health/Life Science	2014	3
Carlsbad, CA	Information Technology	1986	1
Madison, WI	Information Technology	2000	1
Mountain View, CA	Medical/Health/Life Science	2011	3
Foster City, CA	Information Technology	1997	1
Bethesda, MD	Information Technology	1999	2
Berkeley, CA	Information Technology	2015	4
Orlando, FL	Information Technology	2005	1
Longmont, CO	Information Technology	2002	1
Eden Prairie, MN	Information Technology	1998	1
King of Prussia, PA	Information Technology	2017	1
Campbell, CA	Information Technology	2017	1
Tampa, FL	Information Technology	2016	4
New Haven, CT	Information Technology	2010	3
Seattle, WA	Non-High Technology	2004	1
Indianapolis city, IN	Information Technology	1993	1
South San Francisco, CA	Medical/Health/Life Science	1989	4
Bethlehem, PA	Non-High Technology	2001	1
Florence-Graham, CA	Medical/Health/Life Science	1987	1
Los Gatos, CA	Information Technology	1996	2
West Hollywood, CA	Non-High Technology	2005	1
Broomfield, CO	Information Technology	1991	1
Woburn, MA	Medical/Health/Life Science	1981	1
Seattle, WA	Medical/Health/Life Science	1996	2
Austin, TX	Information Technology	1989	2
Madison, WI	Information Technology	2020	2
Pasadena, CA	Information Technology	2005	4
Rockville, MD	Information Technology	1994	1
Dallas, TX	Information Technology	2014	3
Phoenix, AZ	Information Technology	1997	4
Nashua, NH	Information Technology	1989	2
Lake Forest, CA	Medical/Health/Life Science	1982	1
San Jose, CA	Non-High Technology	2011	1
South San Francisco, CA	Medical/Health/Life Science	2012	3
San Jose, CA	Non-High Technology	1997	2
Orem, UT	Information Technology	1982	1
Redwood City, CA	Information Technology	1986	2
Charlottesville, VA	Medical/Health/Life Science	2014	2
Omaha, NE	Information Technology	1998	1
Lexington, MA	Information Technology	1983	1
South San Francisco, CA	Medical/Health/Life Science	1987	1
Sunnyvale, CA	Medical/Health/Life Science	1987	1
Cambridge, MA	Information Technology	2018	15
San Diego, CA	Non-High Technology	2000	4
San Diego, CA	Information Technology	1985	4
Newton, MA	Information Technology	1997	1
San Francisco, CA	Non-High Technology	2019	26
Addison, TX	Non-High Technology	2000	1
Pasadena, CA	Information Technology	2014	3
Colorado Springs, CO	Information Technology	1999	2
King of Prussia, PA	Information Technology	1986	2
Santa Rosa, CA	Information Technology	2014	1
Irving, TX	Information Technology	1998	3
Phoenix, AZ	Information Technology	1992	1
Milpitas, CA	Information Technology	2007	5
Atlanta, GA	Information Technology	1985	2
Milpitas, CA	Information Technology	1983	7
Wilmington, DE	Medical/Health/Life Science	2019	1
Pleasanton, CA	Medical/Health/Life Science	2004	1
South San Francisco, CA	Information Technology	1999	5
Houston, TX	Information Technology	1994	1
Cambridge, MA	Information Technology	1984	8
Durham, NC	Medical/Health/Life Science	2019	2
Plano, TX	Medical/Health/Life Science	2009	1
Washington, DC	Information Technology	2016	5
Pittsburgh, PA	Information Technology	2016	12
Boulder, CO	Non-High Technology	2018	1
Berkeley, CA	Information Technology	1999	3
Cincinnati, OH	Information Technology	2014	7
Atlanta, GA	Medical/Health/Life Science	2006	1
Hayward, CA	Information Technology	1999	3
Minneapolis, MN	Information Technology	1988	1
Provo, UT	Non-High Technology	2008	1
Sunnyvale, CA	Medical/Health/Life Science	1984	2
Rockville, MD	Information Technology	1985	1
Berkeley, CA	Medical/Health/Life Science	2010	1
Bellevue, WA	Medical/Health/Life Science	2017	1
Bethesda, MD	Non-High Technology	1996	1
Miami, FL	Non-High Technology	1997	1
Santa Ana, CA	Medical/Health/Life Science	1982	2
Indianapolis city, IN	Information Technology	2019	7
Boston, MA	Information Technology	2001	14
Cleveland, OH	Medical/Health/Life Science	2005	1
Orem, UT	Information Technology	1995	1
Redwood City, CA	Medical/Health/Life Science	2010	4
Seattle, WA	Information Technology	2017	24
Pittsburgh, PA	Medical/Health/Life Science	2019	2
Kirkland, WA	Information Technology	1984	1
Cambridge, MA	Non-High Technology	2013	2
San Carlos, CA	Information Technology	2005	1
Houston, TX	Information Technology	2001	5
San Antonio, TX	Medical/Health/Life Science	1994	1
Westminster, CO	Medical/Health/Life Science	1994	1
New Haven, CT	Information Technology	2020	1
Sunnyvale, CA	Information Technology	1987	7
West Hollywood, CA	Medical/Health/Life Science	2018	1
New Haven, CT	Medical/Health/Life Science	2010	4
Indianapolis city, IN	Information Technology	2006	3
Seattle, WA	Non-High Technology	1996	2
Austin, TX	Medical/Health/Life Science	2004	4
Palo Alto, CA	Information Technology	1993	2
Buffalo, NY	Information Technology	2016	3
Raleigh, NC	Information Technology	2012	1
Portland, OR	Information Technology	1993	2
Centennial, CO	Information Technology	1998	1
Nashville-Davidson, TN	Medical/Health/Life Science	1989	2
San Diego, CA	Information Technology	2010	2
Miami, FL	Medical/Health/Life Science	1996	1
Longmont, CO	Medical/Health/Life Science	2019	1
Beverly, MA	Information Technology	2014	1
Bellevue, WA	Information Technology	1987	2
Newton, MA	Information Technology	1995	1
Irvine, CA	Non-High Technology	2009	1
Woburn, MA	Medical/Health/Life Science	2002	1
Kirkland, WA	Information Technology	2001	2
Tampa, FL	Information Technology	2014	1
Fort Lauderdale, FL	Information Technology	2002	1
